,County,Candidate,Margin,Total votes,Biden vote approx,Trump vote approx,Biden Share,Trump Share,State,Relative Vote Total,b,r,g,rgb
101,Jewell,Trump,0.72,1608,225.12000000000003,1382.8799999999999,0.14,0.8599999999999999,Kansas,0.027873296108269035,0.14,0.8599999999999999,0.14,"(0.8599999999999999, 0.14, 0.14, 0.027873296108269035)"
102,Woodson,Trump,0.61,1496,291.72,1204.28,0.195,0.8049999999999999,Kansas,0.025931872498737858,0.195,0.8049999999999999,0.195,"(0.8049999999999999, 0.195, 0.195, 0.025931872498737858)"
103,Ness,Trump,0.79,1487,156.13499999999996,1330.865,0.10499999999999997,0.895,Kansas,0.02577586524440053,0.10499999999999997,0.895,0.10499999999999997,"(0.895, 0.10499999999999997, 0.10499999999999997, 0.02577586524440053)"
104,Chase,Trump,0.52,1478,354.71999999999997,1123.28,0.24,0.76,Kansas,0.025619857990063204,0.24,0.76,0.24,"(0.76, 0.24, 0.24, 0.025619857990063204)"
0,Jefferson,Biden,0.2,386093,231655.8,154437.2,0.6,0.4,Kentucky,1.0,0.6,0.4,0.4,"(0.4, 0.4, 0.6, 1.0)"
1,Franklin,Trump,0.0096,26059,12904.416799999999,13154.583200000001,0.4952,0.5048,Kentucky,0.451710337864044,0.4952,0.5048,0.4952,"(0.5048, 0.4952, 0.4952, 0.451710337864044)"
2,Leslie,Trump,0.8,4814,481.3999999999999,4332.6,0.09999999999999998,0.9,Kentucky,0.08344654693109896,0.09999999999999998,0.9,0.09999999999999998,"(0.9, 0.09999999999999998, 0.09999999999999998, 0.08344654693109896)"
3,Fulton,Trump,0.34,2421,798.93,1622.0700000000002,0.32999999999999996,0.67,Kentucky,0.04196595141674088,0.32999999999999996,0.67,0.32999999999999996,"(0.67, 0.32999999999999996, 0.32999999999999996, 0.04196595141674088)"
4,Letcher,Trump,0.59,9148,1875.3400000000001,7272.659999999999,0.20500000000000002,0.7949999999999999,Kentucky,0.15857270696420717,0.20500000000000002,0.7949999999999999,0.20500000000000002,"(0.7949999999999999, 0.20500000000000002, 0.20500000000000002, 0.15857270696420717)"
5,Martin,Trump,0.79,3930,412.6499999999999,3517.35,0.10499999999999998,0.895,Kentucky,0.06812316772729932,0.10499999999999998,0.895,0.10499999999999998,"(0.895, 0.10499999999999998, 0.10499999999999998, 0.06812316772729932)"
6,Lee,Trump,0.64,2659,478.62,2180.38,0.18,0.8200000000000001,Kentucky,0.046091476586994626,0.18,0.8200000000000001,0.18,"(0.8200000000000001, 0.18, 0.18, 0.046091476586994626)"
7,Fayette,Biden,0.21,152664,92361.72,60302.280000000006,0.605,0.395,Kentucky,1.0,0.605,0.395,0.395,"(0.395, 0.395, 0.605, 1.0)"
8,Jessamine,Trump,0.32,26251,8925.339999999998,17325.66,0.3399999999999999,0.66,Kentucky,0.4550384926232403,0.3399999999999999,0.66,0.3399999999999999,"(0.66, 0.3399999999999999, 0.3399999999999999, 0.4550384926232403)"
9,Perry,Trump,0.54,10606,2439.3799999999997,8166.62,0.22999999999999995,0.77,Kentucky,0.1838458821668541,0.22999999999999995,0.77,0.22999999999999995,"(0.77, 0.22999999999999995, 0.22999999999999995, 0.1838458821668541)"
10,Kenton,Trump,0.19,82184,33284.520000000004,48899.479999999996,0.405,0.595,Kentucky,1.0,0.405,0.595,0.405,"(0.595, 0.405, 0.405, 1.0)"
11,Harlan,Trump,0.72,10971,1535.94,9435.06,0.14,0.86,Kentucky,0.19017284303720122,0.14,0.86,0.14,"(0.86, 0.14, 0.14, 0.19017284303720122)"
12,Carlisle,Trump,0.64,2638,474.84,2163.1600000000003,0.18,0.8200000000000001,Kentucky,0.04572745966020753,0.18,0.8200000000000001,0.18,"(0.8200000000000001, 0.18, 0.18, 0.04572745966020753)"
13,Hickman,Trump,0.57,2199,472.7850000000001,1726.215,0.21500000000000002,0.7849999999999999,Kentucky,0.038117772476420154,0.21500000000000002,0.7849999999999999,0.21500000000000002,"(0.7849999999999999, 0.21500000000000002, 0.21500000000000002, 0.038117772476420154)"
14,Campbell,Trump,0.19,48833,19777.365,29055.635,0.405,0.595,Kentucky,0.8464780278949637,0.405,0.595,0.405,"(0.595, 0.405, 0.405, 0.8464780278949637)"
15,Oldham,Trump,0.21,37936,14984.720000000001,22951.28,0.395,0.605,Kentucky,0.6575879111712027,0.395,0.605,0.395,"(0.605, 0.395, 0.395, 0.6575879111712027)"
16,Pike,Trump,0.61,25368,4946.76,20421.239999999998,0.195,0.8049999999999999,Kentucky,0.43973244755881147,0.195,0.8049999999999999,0.195,"(0.8049999999999999, 0.195, 0.195, 0.43973244755881147)"
17,Webster,Trump,0.52,5991,1437.84,4553.16,0.24,0.76,Kentucky,0.10384882897054713,0.24,0.76,0.24,"(0.76, 0.24, 0.24, 0.10384882897054713)"
18,Ballard,Trump,0.6,4225,845.0,3380.0,0.2,0.8,Kentucky,0.07323673884168948,0.2,0.8,0.2,"(0.8, 0.2, 0.2, 0.07323673884168948)"
19,Henderson,Trump,0.25,20697,7761.375,12935.625,0.375,0.625,Kentucky,0.3587646825577389,0.375,0.625,0.375,"(0.625, 0.375, 0.375, 0.3587646825577389)"
20,Clay,Trump,0.77,7590,872.8499999999999,6717.15,0.11499999999999999,0.8849999999999999,Kentucky,0.13156611782447883,0.11499999999999999,0.8849999999999999,0.11499999999999999,"(0.8849999999999999, 0.11499999999999999, 0.11499999999999999, 0.13156611782447883)"
21,Madison,Trump,0.27,43903,16024.595,27878.405,0.365,0.635,Kentucky,0.7610207207968503,0.365,0.635,0.365,"(0.635, 0.365, 0.365, 0.7610207207968503)"
22,Marshall,Trump,0.52,17609,4226.16,13382.84,0.24,0.76,Kentucky,0.3052368601806651,0.24,0.76,0.24,"(0.76, 0.24, 0.24, 0.3052368601806651)"
23,McLean,Trump,0.54,4782,1099.86,3682.14,0.22999999999999998,0.77,Kentucky,0.08289185447123291,0.22999999999999998,0.77,0.22999999999999998,"(0.77, 0.22999999999999998, 0.22999999999999998, 0.08289185447123291)"
24,Elliott,Trump,0.51,2995,733.775,2261.225,0.245,0.755,Kentucky,0.05191574741558816,0.245,0.755,0.245,"(0.755, 0.245, 0.245, 0.05191574741558816)"
25,Hardin,Trump,0.24,48941,18597.58,30343.42,0.38000000000000006,0.62,Kentucky,0.8483501149470117,0.38000000000000006,0.62,0.38000000000000006,"(0.62, 0.38000000000000006, 0.38000000000000006, 0.8483501149470117)"
26,McCracken,Trump,0.32,33554,11408.359999999999,22145.64,0.33999999999999997,0.66,Kentucky,0.5816297124482955,0.33999999999999997,0.66,0.33999999999999997,"(0.66, 0.33999999999999997, 0.33999999999999997, 0.5816297124482955)"
27,Boyd,Trump,0.33,21741,7283.235,14457.765000000001,0.33499999999999996,0.665,Kentucky,0.3768615240608688,0.33499999999999996,0.665,0.33499999999999996,"(0.665, 0.33499999999999996, 0.33499999999999996, 0.3768615240608688)"
28,Hopkins,Trump,0.48,21512,5593.12,15918.88,0.26,0.74,Kentucky,0.3728920061449524,0.26,0.74,0.26,"(0.74, 0.26, 0.26, 0.3728920061449524)"
29,Johnson,Trump,0.67,10193,1681.8449999999998,8511.154999999999,0.16499999999999998,0.8349999999999999,Kentucky,0.17668688260670787,0.16499999999999998,0.8349999999999999,0.16499999999999998,"(0.8349999999999999, 0.16499999999999998, 0.16499999999999998, 0.17668688260670787)"
30,Adair,Trump,0.67,8766,1446.3899999999999,7319.61,0.16499999999999998,0.835,Kentucky,0.1519510657245562,0.16499999999999998,0.835,0.16499999999999998,"(0.835, 0.16499999999999998, 0.16499999999999998, 0.1519510657245562)"
31,Casey,Trump,0.73,7180,969.3000000000001,6210.7,0.135,0.865,Kentucky,0.12445912068244507,0.135,0.865,0.135,"(0.865, 0.135, 0.135, 0.12445912068244507)"
32,Union,Trump,0.52,6576,1578.24,4997.76,0.24,0.76,Kentucky,0.11398930050247337,0.24,0.76,0.24,"(0.76, 0.24, 0.24, 0.11398930050247337)"
